id,category,relative_path,original_thumbnail,original_source_sha256,protected_thumbnail,protected_source_sha256,forged_thumbnail,forged_source_sha256,confidence_thumbnail,confidence_source_sha256,recovered_thumbnail,recovered_source_sha256
animal_01,animal,animal/animal_01.png,thumbnails/original/animal/animal_01.webp,c2d9015285e586fd6f03810f21754fdce66a667cfdc08ea2f8cb6f8a610565ca,thumbnails/protected/animal/animal_01.webp,9d38adf3c55904f3648259e852b5b12048e288aaa7c3dd4d48c6443ff8331d09,thumbnails/forged/animal/animal_01.webp,27a3317a7c291c62bec1c0af3f63f490696b5b4f6540bdf517aab80b6dd91ca2,thumbnails/confidence/animal/animal_01.webp,256c7332454a0824f3609da25600d53080d498e58852e2f07290773bb956f04f,thumbnails/recovered/animal/animal_01.webp,8aea84d40f172779b5f7ceb69595aa508faa8463243d45ef873b245e996a536e
animal_02,animal,animal/animal_02.png,thumbnails/original/animal/animal_02.webp,a6d00718f83e59d787f66e4c8d9dd681c893ec24476d947915ecba72d03d7e74,thumbnails/protected/animal/animal_02.webp,baef1e31ff2ece1b70056f20a636292c10592a3bd1d51b9e760ec7075457441d,thumbnails/forged/animal/animal_02.webp,549a4c9d77c37481f4f8c196ea14e22413446797aed82709e8c25e582682904d,thumbnails/confidence/animal/animal_02.webp,8603d9fb1a7347e9ac7747fe722dfb1852765befb5fb8f8aec89e53e75fbe89a,thumbnails/recovered/animal/animal_02.webp,c7e3fb3d57516ed1c52fbfac777d37fb4523ec4882a035bacd2213e832ef0651
animal_03,animal,animal/animal_03.png,thumbnails/original/animal/animal_03.webp,6458ec35c41dd61ae88fcb9572830ab4bef471b29c59193803527a39fc953989,thumbnails/protected/animal/animal_03.webp,2fd36bc781b4c6077853a81f22a882d4c9f8308caedeca902d9bb6766fb9d07f,thumbnails/forged/animal/animal_03.webp,d926c0d9f156566d64ebf3027f9dba05402e847d31905781b4e9f4ddadd75540,thumbnails/confidence/animal/animal_03.webp,10dd66a62572371c6ffe1649e34644838a8e906747915d1336f74d741e07273d,thumbnails/recovered/animal/animal_03.webp,653018a33455c20291a672000e9dedb22bac8f7ae6a53f4534afecde05d6fcbc
animal_04,animal,animal/animal_04.png,thumbnails/original/animal/animal_04.webp,84f6c7319f605b6cd82170f8b422215e7e6fbf05d1004298a9ab2bd22b7e0f9c,thumbnails/protected/animal/animal_04.webp,8e09d7d6f8f30349d80ab3190fcdb0e4ffce75698221891cfcc48480f094fc5c,thumbnails/forged/animal/animal_04.webp,6e0e1da6b3557c97003e0ff67ee3565c622b246fcc9230d4cfb58fd2b733b8b2,thumbnails/confidence/animal/animal_04.webp,717d4b39959517c74f94141a76b5fc9635009fed50846da163cf6bc074e7840a,thumbnails/recovered/animal/animal_04.webp,58ba597abc4d50717896a183e04397a8a637c4c948540df173efe0ddfcc9344f
animal_05,animal,animal/animal_05.png,thumbnails/original/animal/animal_05.webp,fc8b138a3569e20b19435b005f7bbc8482a1b8912a09a7b9e2fc01f22eeedc86,thumbnails/protected/animal/animal_05.webp,0a7dfbecd832ae241760d226860e47157063925eade2156964c87a06db75eb1a,thumbnails/forged/animal/animal_05.webp,9de1e1ece98b74568b8194cfae598464831d598af3cdd4036f339cd3b4bce3c6,thumbnails/confidence/animal/animal_05.webp,feccf442151bf72308333abd0c62c8ce4e807b09f8e7c53f6add057cf17510b6,thumbnails/recovered/animal/animal_05.webp,ea1b6d43d7d750b18289afb9a91e209b1195d9353fb390b424f98977017abffa
animal_06,animal,animal/animal_06.png,thumbnails/original/animal/animal_06.webp,e76df1c39fba78ab52ce592d170c1a2de495b01aa8035d66bc69416e55523507,thumbnails/protected/animal/animal_06.webp,4a9b3c3d139ab8d9eb935155395b888996758ed3eb7e7febb555b97a6c9dbedf,thumbnails/forged/animal/animal_06.webp,885f0f35d18155d56ecf34c132eb9c35e57ffc08e1d566d9e7242a00dd7adc77,thumbnails/confidence/animal/animal_06.webp,0bdd48c28019f3315272992183ec8700753332471d5bb3c4d08d1b48650f35f1,thumbnails/recovered/animal/animal_06.webp,f5715e99960cab5b567dfa11d351a22771dff9495694f70025fdf20ef99294be
animal_07,animal,animal/animal_07.png,thumbnails/original/animal/animal_07.webp,a2ff67b9c50ad572ec0b81b98affc49af5b561559c83f7d5ff244f55e1c4753c,thumbnails/protected/animal/animal_07.webp,e3c1f5c2ea2bbae59ab44f1a59f72ca39904d40a347c083eb3901c391b5c62dc,thumbnails/forged/animal/animal_07.webp,f545013cf76fd387848557126e2e9f12dc57331d9c1fc7b418117b97fc842c37,thumbnails/confidence/animal/animal_07.webp,bb93d39ff9b34988be193ff8fa0cba607027b7570bb4b4c0d6001c4da13c5911,thumbnails/recovered/animal/animal_07.webp,a6024e853212cea0d4bbff4bba938640a12e5f1650a9623801deb17decf56d56
animal_08,animal,animal/animal_08.png,thumbnails/original/animal/animal_08.webp,fbfe7fd8bdb3d2ae2d615d3a963e29f160a74ba104cba6dc3f2d514334ce249d,thumbnails/protected/animal/animal_08.webp,a7116990f6b5e93fce21f42159d19bea71bd0b0d134e54832418c96dccd21f56,thumbnails/forged/animal/animal_08.webp,ccc7b6e79a79405485fd3c619eb637dde76c838b84e2ccb7f58177a3cb488524,thumbnails/confidence/animal/animal_08.webp,0dc195c7a00f56d55d103f9a82207d0272356a321433d12e76a012653bf4a3e4,thumbnails/recovered/animal/animal_08.webp,f0ea5a7456382af88312966d605f61d8ec05a750a852c25d3813b4ec3420d536
animal_09,animal,animal/animal_09.png,thumbnails/original/animal/animal_09.webp,3e2e0e84573a1b0eaad5b2229c037686076cf417d7f21050372b609b7ebd58b8,thumbnails/protected/animal/animal_09.webp,d76141270f26069b3115119a9a1c0e25b269a503d774277e8cf299a80fe61b69,thumbnails/forged/animal/animal_09.webp,3f412be7d2fd6726cf4bf9434d45d3b0b910a21cc89057d996bdd8e5b03312d4,thumbnails/confidence/animal/animal_09.webp,42531107f0c61aa2457d92baefdce089fe7e7e255b86dcc7f1b8ef2b3d267a5c,thumbnails/recovered/animal/animal_09.webp,7362adb8fb2be4ba7e1b2e72eb46989b2ff994dcc31d6c1e3296d39df242524f
animal_10,animal,animal/animal_10.png,thumbnails/original/animal/animal_10.webp,12d3cef69857db62107bcb29bfd0a406f0e7bd2d749948f8d840b5a68c6ebb19,thumbnails/protected/animal/animal_10.webp,ca0ae570df651a77133abb5761246c2d4879bd2f37dcf292afc77996791f2a3c,thumbnails/forged/animal/animal_10.webp,2b78a1d2ab839f6cefbc69da472f3914ff36abd082185d6da2790d6a40397dee,thumbnails/confidence/animal/animal_10.webp,4c7bc09c0a9f4d28a42ac413c880b21d5c1380160e1373fc767257f280a847c8,thumbnails/recovered/animal/animal_10.webp,a8f48e1eb4accd1676a7bcf36b1f9358793d1c6abf481ff9954880850d06e439
